page,search_url,property_url,type,Location,Price,Area,Bedrooms,Y,Energy,NumUnits,Sale,Build,Delivery,Name_Prop,Units
1,"https://www.funda.nl/zoeken/huur?price=%220-1500%22&object_type=[%22house%22,%22apartment%22]&floor_area=%2250-%22&bedrooms=%221-%22&construction_period=[%22from_1991_to_2000%22,%22from_2001_to_2010%22,%22from_2011_to_2020%22,%22after_2020%22]&sort=%22price_up%22&custom_area=wcv_%2540o%2560n_IyiKgqCouPtlBfsDnmIp%257Be%2540vgTxpNn_HePngCcwBj%257COdoQp%255ElnXuuRxtA%2560aQbhYolDxs%255EzuTjrKln%2540vec%2540%257DlDbwBgqFswg%2540%257Bf%255BfzGw%257DJgsDscIo%257Be%2540%257BpDkoF%257CSehNljFeo%255ChaDwdu%2540eaU,cmw%255Dw_s%257CHgk%255E%257BmB_mE%257BbQp%257Be%2540q%257CDj%257BM%257D~JtaBn~KwbSrhOja%2540bfI,%257D~zXsg%257B%257CHehNvuJ_~%255BfyIdeIujUhvI%257DqEtiVrlE,kniYian%257CHeuCueCexS~%257CNhvIo%257CGjrKtmCtcAogF,%257DksYcza%257CHeaVkxT%257Bh%255DtoM%2560bDvpLfzGtlIhnc%2540%257BNl%257DA%257BeO",https://www.funda.nl/detail/huur/voorburg/appartement-nieuwe-havenstraat-132/89378960/,Rent,Voorburg,1370,70,2,2025.0,A+,,,,,,
1,"https://www.funda.nl/zoeken/huur?price=%220-1500%22&object_type=[%22house%22,%22apartment%22]&floor_area=%2250-%22&bedrooms=%221-%22&construction_period=[%22from_1991_to_2000%22,%22from_2001_to_2010%22,%22from_2011_to_2020%22,%22after_2020%22]&sort=%22price_up%22&custom_area=wcv_%2540o%2560n_IyiKgqCouPtlBfsDnmIp%257Be%2540vgTxpNn_HePngCcwBj%257COdoQp%255ElnXuuRxtA%2560aQbhYolDxs%255EzuTjrKln%2540vec%2540%257DlDbwBgqFswg%2540%257Bf%255BfzGw%257DJgsDscIo%257Be%2540%257BpDkoF%257CSehNljFeo%255ChaDwdu%2540eaU,cmw%255Dw_s%257CHgk%255E%257BmB_mE%257BbQp%257Be%2540q%257CDj%257BM%257D~JtaBn~KwbSrhOja%2540bfI,%257D~zXsg%257B%257CHehNvuJ_~%255BfyIdeIujUhvI%257DqEtiVrlE,kniYian%257CHeuCueCexS~%257CNhvIo%257CGjrKtmCtcAogF,%257DksYcza%257CHeaVkxT%257Bh%255DtoM%2560bDvpLfzGtlIhnc%2540%257BNl%257DA%257BeO",https://www.funda.nl/detail/huur/voorburg/appartement-nieuwe-havenstraat-248/89418838/,Rent,Voorburg,1184,62,2,2025.0,A++,,,,,,
1,"https://www.funda.nl/zoeken/huur?price=%220-1500%22&object_type=[%22house%22,%22apartment%22]&floor_area=%2250-%22&bedrooms=%221-%22&construction_period=[%22from_1991_to_2000%22,%22from_2001_to_2010%22,%22from_2011_to_2020%22,%22after_2020%22]&sort=%22price_up%22&custom_area=wcv_%2540o%2560n_IyiKgqCouPtlBfsDnmIp%257Be%2540vgTxpNn_HePngCcwBj%257COdoQp%255ElnXuuRxtA%2560aQbhYolDxs%255EzuTjrKln%2540vec%2540%257DlDbwBgqFswg%2540%257Bf%255BfzGw%257DJgsDscIo%257Be%2540%257BpDkoF%257CSehNljFeo%255ChaDwdu%2540eaU,cmw%255Dw_s%257CHgk%255E%257BmB_mE%257BbQp%257Be%2540q%257CDj%257BM%257D~JtaBn~KwbSrhOja%2540bfI,%257D~zXsg%257B%257CHehNvuJ_~%255BfyIdeIujUhvI%257DqEtiVrlE,kniYian%257CHeuCueCexS~%257CNhvIo%257CGjrKtmCtcAogF,%257DksYcza%257CHeaVkxT%257Bh%255DtoM%2560bDvpLfzGtlIhnc%2540%257BNl%257DA%257BeO",https://www.funda.nl/detail/huur/voorburg/appartement-johan-david-zocherstraat-259/89424737/,Rent,Voorburg,1450,75,2,2025.0,A++,,,,,,
1,"https://www.funda.nl/zoeken/huur?price=%220-1500%22&object_type=[%22house%22,%22apartment%22]&floor_area=%2250-%22&bedrooms=%221-%22&construction_period=[%22from_1991_to_2000%22,%22from_2001_to_2010%22,%22from_2011_to_2020%22,%22after_2020%22]&sort=%22price_up%22&custom_area=wcv_%2540o%2560n_IyiKgqCouPtlBfsDnmIp%257Be%2540vgTxpNn_HePngCcwBj%257COdoQp%255ElnXuuRxtA%2560aQbhYolDxs%255EzuTjrKln%2540vec%2540%257DlDbwBgqFswg%2540%257Bf%255BfzGw%257DJgsDscIo%257Be%2540%257BpDkoF%257CSehNljFeo%255ChaDwdu%2540eaU,cmw%255Dw_s%257CHgk%255E%257BmB_mE%257BbQp%257Be%2540q%257CDj%257BM%257D~JtaBn~KwbSrhOja%2540bfI,%257D~zXsg%257B%257CHehNvuJ_~%255BfyIdeIujUhvI%257DqEtiVrlE,kniYian%257CHeuCueCexS~%257CNhvIo%257CGjrKtmCtcAogF,%257DksYcza%257CHeaVkxT%257Bh%255DtoM%2560bDvpLfzGtlIhnc%2540%257BNl%257DA%257BeO",https://www.funda.nl/detail/huur/voorburg/appartement-johan-david-zocherstraat-235/89433764/,Rent,Voorburg,1485,76,2,2025.0,A+++,,,,,,
1,"https://www.funda.nl/zoeken/huur?price=%220-1500%22&object_type=[%22house%22,%22apartment%22]&floor_area=%2250-%22&bedrooms=%221-%22&construction_period=[%22from_1991_to_2000%22,%22from_2001_to_2010%22,%22from_2011_to_2020%22,%22after_2020%22]&sort=%22price_up%22&custom_area=wcv_%2540o%2560n_IyiKgqCouPtlBfsDnmIp%257Be%2540vgTxpNn_HePngCcwBj%257COdoQp%255ElnXuuRxtA%2560aQbhYolDxs%255EzuTjrKln%2540vec%2540%257DlDbwBgqFswg%2540%257Bf%255BfzGw%257DJgsDscIo%257Be%2540%257BpDkoF%257CSehNljFeo%255ChaDwdu%2540eaU,cmw%255Dw_s%257CHgk%255E%257BmB_mE%257BbQp%257Be%2540q%257CDj%257BM%257D~JtaBn~KwbSrhOja%2540bfI,%257D~zXsg%257B%257CHehNvuJ_~%255BfyIdeIujUhvI%257DqEtiVrlE,kniYian%257CHeuCueCexS~%257CNhvIo%257CGjrKtmCtcAogF,%257DksYcza%257CHeaVkxT%257Bh%255DtoM%2560bDvpLfzGtlIhnc%2540%257BNl%257DA%257BeO",https://www.funda.nl/detail/huur/den-haag/appartement-saturnusstraat-18-416/43039398/,Rent,Den Haag,1005,51,1,2026.0,A,,,,,,
1,"https://www.funda.nl/zoeken/huur?price=%220-1500%22&object_type=[%22house%22,%22apartment%22]&floor_area=%2250-%22&bedrooms=%221-%22&construction_period=[%22from_1991_to_2000%22,%22from_2001_to_2010%22,%22from_2011_to_2020%22,%22after_2020%22]&sort=%22price_up%22&custom_area=wcv_%2540o%2560n_IyiKgqCouPtlBfsDnmIp%257Be%2540vgTxpNn_HePngCcwBj%257COdoQp%255ElnXuuRxtA%2560aQbhYolDxs%255EzuTjrKln%2540vec%2540%257DlDbwBgqFswg%2540%257Bf%255BfzGw%257DJgsDscIo%257Be%2540%257BpDkoF%257CSehNljFeo%255ChaDwdu%2540eaU,cmw%255Dw_s%257CHgk%255E%257BmB_mE%257BbQp%257Be%2540q%257CDj%257BM%257D~JtaBn~KwbSrhOja%2540bfI,%257D~zXsg%257B%257CHehNvuJ_~%255BfyIdeIujUhvI%257DqEtiVrlE,kniYian%257CHeuCueCexS~%257CNhvIo%257CGjrKtmCtcAogF,%257DksYcza%257CHeaVkxT%257Bh%255DtoM%2560bDvpLfzGtlIhnc%2540%257BNl%257DA%257BeO",https://www.funda.nl/detail/huur/den-haag/appartement-saturnusstraat-18-415/43039394/,Rent,Den Haag,1321,77,2,2026.0,A,,,,,,
1,"https://www.funda.nl/zoeken/huur?price=%220-1500%22&object_type=[%22house%22,%22apartment%22]&floor_area=%2250-%22&bedrooms=%221-%22&construction_period=[%22from_1991_to_2000%22,%22from_2001_to_2010%22,%22from_2011_to_2020%22,%22after_2020%22]&sort=%22price_up%22&custom_area=wcv_%2540o%2560n_IyiKgqCouPtlBfsDnmIp%257Be%2540vgTxpNn_HePngCcwBj%257COdoQp%255ElnXuuRxtA%2560aQbhYolDxs%255EzuTjrKln%2540vec%2540%257DlDbwBgqFswg%2540%257Bf%255BfzGw%257DJgsDscIo%257Be%2540%257BpDkoF%257CSehNljFeo%255ChaDwdu%2540eaU,cmw%255Dw_s%257CHgk%255E%257BmB_mE%257BbQp%257Be%2540q%257CDj%257BM%257D~JtaBn~KwbSrhOja%2540bfI,%257D~zXsg%257B%257CHehNvuJ_~%255BfyIdeIujUhvI%257DqEtiVrlE,kniYian%257CHeuCueCexS~%257CNhvIo%257CGjrKtmCtcAogF,%257DksYcza%257CHeaVkxT%257Bh%255DtoM%2560bDvpLfzGtlIhnc%2540%257BNl%257DA%257BeO",https://www.funda.nl/detail/huur/den-haag/appartement-saturnusstraat-18-403/43039399/,Rent,Den Haag,1159,60,1,2026.0,A,,,,,,
1,"https://www.funda.nl/zoeken/huur?price=%220-1500%22&object_type=[%22house%22,%22apartment%22]&floor_area=%2250-%22&bedrooms=%221-%22&construction_period=[%22from_1991_to_2000%22,%22from_2001_to_2010%22,%22from_2011_to_2020%22,%22after_2020%22]&sort=%22price_up%22&custom_area=wcv_%2540o%2560n_IyiKgqCouPtlBfsDnmIp%257Be%2540vgTxpNn_HePngCcwBj%257COdoQp%255ElnXuuRxtA%2560aQbhYolDxs%255EzuTjrKln%2540vec%2540%257DlDbwBgqFswg%2540%257Bf%255BfzGw%257DJgsDscIo%257Be%2540%257BpDkoF%257CSehNljFeo%255ChaDwdu%2540eaU,cmw%255Dw_s%257CHgk%255E%257BmB_mE%257BbQp%257Be%2540q%257CDj%257BM%257D~JtaBn~KwbSrhOja%2540bfI,%257D~zXsg%257B%257CHehNvuJ_~%255BfyIdeIujUhvI%257DqEtiVrlE,kniYian%257CHeuCueCexS~%257CNhvIo%257CGjrKtmCtcAogF,%257DksYcza%257CHeaVkxT%257Bh%255DtoM%2560bDvpLfzGtlIhnc%2540%257BNl%257DA%257BeO",https://www.funda.nl/detail/huur/den-haag/appartement-saturnusstraat-18-515/43039389/,Rent,Den Haag,1290,76,2,2026.0,A,,,,,,
1,"https://www.funda.nl/zoeken/huur?price=%220-1500%22&object_type=[%22house%22,%22apartment%22]&floor_area=%2250-%22&bedrooms=%221-%22&construction_period=[%22from_1991_to_2000%22,%22from_2001_to_2010%22,%22from_2011_to_2020%22,%22after_2020%22]&sort=%22price_up%22&custom_area=wcv_%2540o%2560n_IyiKgqCouPtlBfsDnmIp%257Be%2540vgTxpNn_HePngCcwBj%257COdoQp%255ElnXuuRxtA%2560aQbhYolDxs%255EzuTjrKln%2540vec%2540%257DlDbwBgqFswg%2540%257Bf%255BfzGw%257DJgsDscIo%257Be%2540%257BpDkoF%257CSehNljFeo%255ChaDwdu%2540eaU,cmw%255Dw_s%257CHgk%255E%257BmB_mE%257BbQp%257Be%2540q%257CDj%257BM%257D~JtaBn~KwbSrhOja%2540bfI,%257D~zXsg%257B%257CHehNvuJ_~%255BfyIdeIujUhvI%257DqEtiVrlE,kniYian%257CHeuCueCexS~%257CNhvIo%257CGjrKtmCtcAogF,%257DksYcza%257CHeaVkxT%257Bh%255DtoM%2560bDvpLfzGtlIhnc%2540%257BNl%257DA%257BeO",https://www.funda.nl/detail/huur/leidschendam/appartement-e-14-bouwnr-106/89457818/,Rent,Leidschendam,1240,67,2,2025.0,A++,,,,,,
1,"https://www.funda.nl/zoeken/huur?price=%220-1500%22&object_type=[%22house%22,%22apartment%22]&floor_area=%2250-%22&bedrooms=%221-%22&construction_period=[%22from_1991_to_2000%22,%22from_2001_to_2010%22,%22from_2011_to_2020%22,%22after_2020%22]&sort=%22price_up%22&custom_area=wcv_%2540o%2560n_IyiKgqCouPtlBfsDnmIp%257Be%2540vgTxpNn_HePngCcwBj%257COdoQp%255ElnXuuRxtA%2560aQbhYolDxs%255EzuTjrKln%2540vec%2540%257DlDbwBgqFswg%2540%257Bf%255BfzGw%257DJgsDscIo%257Be%2540%257BpDkoF%257CSehNljFeo%255ChaDwdu%2540eaU,cmw%255Dw_s%257CHgk%255E%257BmB_mE%257BbQp%257Be%2540q%257CDj%257BM%257D~JtaBn~KwbSrhOja%2540bfI,%257D~zXsg%257B%257CHehNvuJ_~%255BfyIdeIujUhvI%257DqEtiVrlE,kniYian%257CHeuCueCexS~%257CNhvIo%257CGjrKtmCtcAogF,%257DksYcza%257CHeaVkxT%257Bh%255DtoM%2560bDvpLfzGtlIhnc%2540%257BNl%257DA%257BeO",https://www.funda.nl/detail/huur/rotterdam/appartement-boezemsingel-336/43036598/,Rent,Rotterdam,1025,61,2,,A,,,,,,
