OriginalSearch,SearchCity,Location,Link,Price,Area,Bedrooms,Terrace
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Zoeterwoude,https://www.huurwoningen.nl/en/huren/zoeterwoude/1520527/stadhouderslaan/,900,61,1,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Voorburg,https://www.huurwoningen.nl/en/huren/voorburg/1511943/burgemeester-feithplein/,901,56,1,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Den Haag,https://www.huurwoningen.nl/en/huren/den-haag/1523784/erasmusweg/,940,85,1,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Den Haag,https://www.huurwoningen.nl/en/huren/den-haag/1521248/loosduinse-uitleg/,1006,72,1,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Rotterdam,https://www.huurwoningen.nl/en/huren/rotterdam/1523328/boezemsingel/,1025,61,2,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Rotterdam,https://www.huurwoningen.nl/en/huren/rotterdam/1523756/weena/,1159,79,1,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Rijswijk,https://www.huurwoningen.nl/en/huren/rijswijk/1516579/oyevaerswey/,1180,65,2,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Pijnacker,https://www.huurwoningen.nl/en/huren/pijnacker/1511966/klapwijkseweg/,1210,69,2,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Leiden,https://www.huurwoningen.nl/en/huren/leiden/1522870/schipholweg/,1216,65,1,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Rotterdam,https://www.huurwoningen.nl/en/huren/rotterdam/1522718/palladiostraat/,1240,64,2,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Berkel en Rodenrijs,https://www.huurwoningen.nl/en/huren/berkel-en-rodenrijs/1517843/christiaan-eijkmanstraat/,1291,65,2,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Rotterdam,https://www.huurwoningen.nl/en/huren/rotterdam/1518326/laan-op-zuid/,1300,87,2,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Rotterdam,https://www.huurwoningen.nl/en/huren/rotterdam/1510650/boezemsingel/,1323,81,2,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Den Haag,https://www.huurwoningen.nl/en/huren/den-haag/1523420/laakweg/,1332,62,1,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Rotterdam,https://www.huurwoningen.nl/en/huren/rotterdam/1524422/tamboerstraat/,1350,60,2,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Zoetermeer,https://www.huurwoningen.nl/en/huren/zoetermeer/1524061/nederlandlaan/,1355,76,3,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Zoeterwoude,https://www.huurwoningen.nl/en/huren/zoeterwoude/1520434/stadhouderslaan/,1357,78,2,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Rijswijk,https://www.huurwoningen.nl/en/huren/rijswijk/1521338/oyevaerswey/,1360,74,2,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Delft,https://www.huurwoningen.nl/en/huren/delft/1521696/maria-vincentiastraat/,1370,73,1,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Den Haag,https://www.huurwoningen.nl/en/huren/den-haag/1517613/maanplein/,1384,76,2,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Den Haag,https://www.huurwoningen.nl/en/huren/den-haag/1517855/zomertalinglaan/,1395,133,3,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Den Haag,https://www.huurwoningen.nl/en/huren/den-haag/1520225/maanplein/,1415,81,1,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Delft,https://www.huurwoningen.nl/en/huren/delft/1524553/de-groene-haven/,1420,99,1,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Den Haag,https://www.huurwoningen.nl/en/huren/den-haag/1521249/loosduinse-uitleg/,1425,89,2,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Rotterdam,https://www.huurwoningen.nl/en/huren/rotterdam/1512643/spoorsingel/,1495,60,1,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Schiedam,https://www.huurwoningen.nl/en/huren/schiedam/1517292/broersveld/,1495,88,2,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Rotterdam,https://www.huurwoningen.nl/en/huren/rotterdam/1367796/jacques-dutilhweg/,1495,98,2,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Rotterdam,https://www.huurwoningen.nl/en/huren/rotterdam/1489542/adrien-mildersstraat/,1495,65,1,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Den Haag,https://www.huurwoningen.nl/en/huren/den-haag/1520822/prinsegracht/,1500,63,1,Not present
https://www.huurwoningen.nl/en/in/den-haag/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,den-haag,Den Haag,https://www.huurwoningen.nl/en/huren/den-haag/1523696/prinsegracht/,1500,71,1,Not present
https://www.huurwoningen.nl/en/in/utrecht/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,utrecht,Utrecht,https://www.huurwoningen.nl/en/huren/utrecht/1522330/kennedylaan/,965,65,1,Not present
https://www.huurwoningen.nl/en/in/utrecht/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,utrecht,Utrecht,https://www.huurwoningen.nl/en/huren/utrecht/1514102/kennedylaan/,965,62,1,Not present
https://www.huurwoningen.nl/en/in/utrecht/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,utrecht,Bilthoven,https://www.huurwoningen.nl/en/huren/bilthoven/1515561/sperwerlaan/,1078,80,1,Not present
https://www.huurwoningen.nl/en/in/utrecht/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,utrecht,Woerden,https://www.huurwoningen.nl/en/huren/woerden/1524932/jan-steenstraat/,1096,62,2,Not present
https://www.huurwoningen.nl/en/in/utrecht/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,utrecht,Bilthoven,https://www.huurwoningen.nl/en/huren/bilthoven/1468872/sperwerlaan/,1125,80,2,Not present
https://www.huurwoningen.nl/en/in/utrecht/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,utrecht,Bilthoven,https://www.huurwoningen.nl/en/huren/bilthoven/1520275/sperwerlaan/,1125,52,1,Not present
https://www.huurwoningen.nl/en/in/utrecht/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,utrecht,Zeist,https://www.huurwoningen.nl/en/huren/zeist/1524688/jufferstraat/,1155,58,1,Not present
https://www.huurwoningen.nl/en/in/utrecht/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,utrecht,Utrecht,https://www.huurwoningen.nl/en/huren/utrecht/1523732/europaplein/,1191,62,2,Not present
https://www.huurwoningen.nl/en/in/utrecht/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,utrecht,Doorn,https://www.huurwoningen.nl/en/huren/doorn/1385411/leersumsestraatweg/,1195,50,2,Not present
https://www.huurwoningen.nl/en/in/utrecht/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,utrecht,Bilthoven,https://www.huurwoningen.nl/en/huren/bilthoven/1519973/sperwerlaan/,1211,96,2,Not present
https://www.huurwoningen.nl/en/in/utrecht/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,utrecht,Utrecht,https://www.huurwoningen.nl/en/huren/utrecht/1519104/gerbrandyhof/,1216,63,2,Not present
https://www.huurwoningen.nl/en/in/utrecht/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,utrecht,Utrecht,https://www.huurwoningen.nl/en/huren/utrecht/1518760/gerbrandyhof/,1216,63,2,Not present
https://www.huurwoningen.nl/en/in/utrecht/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,utrecht,Uithoorn,https://www.huurwoningen.nl/en/huren/uithoorn/1513106/amstelplein/,1250,85,2,Not present
https://www.huurwoningen.nl/en/in/utrecht/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,utrecht,Hilversum,https://www.huurwoningen.nl/en/huren/hilversum/1519740/van-linschotenlaan/,1268,85,2,Not present
https://www.huurwoningen.nl/en/in/utrecht/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,utrecht,Utrecht,https://www.huurwoningen.nl/en/huren/utrecht/1523693/billie-holidaystraat/,1280,64,1,Not present
https://www.huurwoningen.nl/en/in/utrecht/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,utrecht,Utrecht,https://www.huurwoningen.nl/en/huren/utrecht/1523785/fletcher-hendersonstraat/,1280,65,2,Not present
https://www.huurwoningen.nl/en/in/utrecht/?price=200-1500&radius=25&living_size=50&bedrooms=1&construction_year=1990-2025&sort=price&direction=asc,utrecht,Odijk,https://www.huurwoningen.nl/en/huren/odijk/1516550/salamander/,1310,88,2,Not present
